Isim,KullanıcıAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet
Erdems,@Erdms92,,,,Fatma hanım siz asgari ücret almıyorsunuz galiba yada ülkeyi kıskanan almayan da mı yaşıyorsunuz kaynak bulundu derken 2700 lira önerildi biliyorsunuz dimi keşke onları da dile getirseniz
İbrahim Aziret,@IbrahimAziret,,,,#asgariucret asgari ücret 5000 tl de olsa bu ülkede gecinemeyiz. Çünkü doğalgaz elektrik su ya %50 ev sahipleri kiraya %30 vergiler %20 artar. Yani seve değilse de s*ke s*ke o para onların cebine girer. Bu kadar basit.
azize miyim ben?,@saint_sckn,,,,"+ asgari ücret alanların hepsi de ''vasıfsız'' değil ne üniversite mezunları, ne özel sektör çalışanları... İşveren de ağlıyor çoğu zaman yeni işe gireni suistimal ediyor işsizlik var diyor  toyluğundan faydalanıyor"
Roni,@BudalaRoni,,,,#asgariücret 5750.80 tl olursa yoksulluktan bir kaç ev aile kurtulabilir
Berat Dönmez,@berat_ed,,,,asgari ücret 100.000 ₺ olsa bile değişecek birşey yok neden yok verdikleri şeyi geri alıyorlar zorla da değil he 100.000 tl asgari ücret alıyorsun ve bir ekmek sadece bi ekmek 100 tl olucak neden mi çünkü burası Türkiye .d
Mustafa Cabuk,@Mustafa49151239,,,,#asgariücret Ben zam istemiyorum.Zaten işim yok ayrı ama verdiği zam geçireceklerinden az gibi ne zam http://ver.Ne de zam isteyen mal millete geçir.
Aşık Serdar,@Serdarasik54,,,,Milyonlarca insan bir avuç etmez insana köle olmuş Allah hesap sorar kulum akıl verdim sağlık verdim neden başkasına köle oldun diye görün lütfen artık uyanın ezilmeye gerek yok biz seçtik güzelce yaşamak herkesin hakkı çalışıp karşılığını istemek ne ayıp nede suçtur #asgariücret
YALOVA Fm,@yalovafm,,,1,"Bunlardan 2700 üstün de bir asgari ücret çıkmaz hiç heveslenmeyin 
Işçinin derdi bunları germez 
#AsgariÜcretVergisiz3100 #Asgariücret"
Ozzylem,@Ozzy_lem,,,1,"""Kader"" kötü insanları görünmez kılmak için müthiş bir kılıftır!!

#asgariücret Gassama
#MasumlarApartmanı Safiye 
Olay TV Juventus #Korkmuyoruz Timuçin Esen Gülru Kılıçdaroğlu"
BEKİR AYDIN ÜZÜMCÜ ,@uzumcu76,,,,Asgari ücret konusunda muhatap TÜSİAD olması gerek hükümet değil
safiye akca,@safiyeakca,,,,Bırakın bunları da sayın Fahrettin Bey siz ve eşiniz neden çift maaş alıyorsunuz? Şuan üç kuruşluk asgari ücret belirlenirken sizin evinize neden 4 maaş giriyor ? Bu tweettiniz maaşlarınız hakkındaki haberleri unutturma çabası mı???
FİLKECİ,@filkeci,,,,"#asgariücret 2000 olmali ve vergide çatir çatir kesilmelidir. 

Bu memleketin en memnun oldugu konu asgari ücrettir. Akpnin oy deposudur.. herkes halinden memnundur. 

Durduk yere şu korona zamani, PİK yapan ekonomiye sıkıntı verilmemelidir"
Alì Şanalmış,@AlisanalmisS,,,1,"Asgari ücret belirlerken hane başına 2 işçi hesap eden siyasi irade(savunma böyle).Camide, Kur'an kurslarında,tekkelerde""Kadın çalışamaz""diyen de siyasi iradenin vaizleri.Siyasal islamcılar düzeyinde bir riya dünya üzerinde görülmemiştir.Dini bu denli eğip,büken bir kitle yoktur."
Okan Çopurlu,@OCopurlu46uo,,,,Bence tüm tüik çalışanlarına asgari ücret verilsin
kendine gariban,@kendinegaribann,,3,6,"https://instagram.com/p/CJA7d3dMX2R/?igshid=lfgl9527ctwg…
Fotoğraf yarışmasına katıldım,Beğenip destek olur musunuz
Gt rt fav takip
#MasumlarApartmanı #genclerinumudunualdınız #Azerbaycan #DevletBahceli #AcKapaOkulOncesi #2020ninKaybedeni #asgariuecret #COVID20 #SARSCoV2 #Sinavlariptaledilsin #sınavagelmiyorum"
Play Queens Gambit with BRAWL Chess,@BrawlChess,5,19,328,"Can You play Chess? ♟♟♟
Let the fun begin!
#Nintendo #Steam #Xbox
https://reddeergames.com/brawlchess/"
Korhan Ertürk,@KorhanErtrk1,,,,@tuikbilgi #asgariücret miktarını hesaplarken sanırım @TBMMresmi lokantasındaki fiyatları baz alıyor.
enes,@enes_kynr,,,,"Vicdan konuşursa, hak yerini bulur. 
#asgariücret"
kadir Can Özkandan,@CanOzkandan,,,,Biride çıkıp demiyorki; Asgari ücret  2400 lira olan bir ülkede maske takmayana neden 3150 lira ceza var diye .
Zeynep,@binolduk,,1,1,"BTP GENEL BAŞKANI @AvHuseyinBas DİYOR Kİ:
SİSTEMİN DEĞİŞMESİ GEREKİYOR.
SİSTEM YANLIŞ
#varbihayalimiz #asgariücret #asgariucret10binolsun Safiye Olay TV #MasumlarApartmanı Gassama #YanındayızErolBulut  AİHM Timuçin Esen #sınavagelmiyorum Kılıçdaroğlu #BizOnaReisDedik #Korkmuyoruz"
azize miyim ben?,@saint_sckn,1,,,Bu ülkede çalışanların %38'i asgari ücret ve altında çalışıyor. Net asgari ücret 2 bin 324TL faturalar kira eğitim sağlık gıda utanç
Emre 6868,@EmreSargin10,,,,Şu zikrettiginiz rakamlar kefen paranız olsun Allah bin belanızı versin kuru ekmeğe muhtaç olun insanda biraz haysiyet olur lan hiç mi yüzünüz kızarmıyor #asgariücret
HaliTC,@Halid66479600,,,,#asgariuecret 2800 olursa baya iyi olur bunun altında bir rakam çok kötü enflasyon oranı sokakta pazarda %50
Meltem Babaoğlu,@MeltemBabaoglu,2,4,39,"Her konuda konuşan, yorum yapan TÜSİAD söz konusu asgari ücret olduğunda neden susar?"
Alper,@DeveloperDW,,,1,"#asgariücret tartışması rafa kalksın, 17/25 konuşulmasın, eroin kaçakçısı konuşulmasın, berat albayrak unutulsun, diploma olayı kapansın diye Türkçe kuran olayını açtılar.."
Harmanyeri,@_harmanyeri,,1,7,"günlük siyasi twitimi de atayım. kılıçdaroğlu başınıza gelmiş en iyi şeydir. saçmalaması sayesinde asıl derdi konuşmuyor kimse, üstü mü örtülecek her seferinde? yoksulluk bu ülkede sorundur, asgari ücret rakamı fiyaskodur, asgari ücretliden vergi almak kadar absürt bir şey yok."
Emre 6868,@EmreSargin10,,,,Şu zikrettiginiz rakamlar kefen paranız olsun Allah bin belanızı versin kuru ekmeğe muhtaç olun insanda biraz haysiyet olur lan hiç mi yüzünüz kızarmıyor #asgariücret
HaliTC,@Halid66479600,,,,#asgariuecret 2800 olursa baya iyi olur bunun altında bir rakam çok kötü enflasyon oranı sokakta pazarda %50
Meltem Babaoğlu,@MeltemBabaoglu,2,4,39,"Her konuda konuşan, yorum yapan TÜSİAD söz konusu asgari ücret olduğunda neden susar?"
Alper,@DeveloperDW,,,1,"#asgariücret tartışması rafa kalksın, 17/25 konuşulmasın, eroin kaçakçısı konuşulmasın, berat albayrak unutulsun, diploma olayı kapansın diye Türkçe kuran olayını açtılar.."
Harmanyeri,@_harmanyeri,,1,7,"günlük siyasi twitimi de atayım. kılıçdaroğlu başınıza gelmiş en iyi şeydir. saçmalaması sayesinde asıl derdi konuşmuyor kimse, üstü mü örtülecek her seferinde? yoksulluk bu ülkede sorundur, asgari ücret rakamı fiyaskodur, asgari ücretliden vergi almak kadar absürt bir şey yok."
S. Deniz,@Kod18_81,,,,"Bu arkadaşlar, emek harcamadan, ülkemize bir katkı sağlamadan ve tüketerek her şeyi havadan bedavadan mı elde edecekler? Bakın bugünlerde asgari ücret için pazarlıklar yapılıyor. Kim için ne için yapılıyor? Çalışan, üreten insanlar için. Yardım başka şey, bedavadan yaşamak başka."
yavuz özyılmaz,@kitaptannotlarr,,,,asgari ücret bize yetti ilkay beybundan iyi ne olabilir ki ! bittik
MESUT ÇABUK,@MESUTABUK13,,,,Türk-İş'ten TÜİK'in asgari ücret önerisine tepki: Bu rakamlar ülke gerçeğini yansıtmıyor
Serhat,@Serhatbilmezz,,,1,Asker olmadığım için asgari ücret pek de umrumda değil açıkçası (!)
Musa KARTAL,@Br19591170,,,,Alım gücümüz yok asgarî ücret artmasin aynı yerinde kalsın alım gücümüz olsun bence. yumurta fiyatı tavuğu geçti. Suçlu kim yumurtacı mi devleti tavuk mu horoz mu
Gurcan,@GurcanFidan,,,,Bu önermenin yanısıra bölgesel asgari ücret uygulamasına da geçilmeli...Syg
Okan Çopurlu,@OCopurlu46uo,,,,Kurdan dolayı iş gücü o kadar ucuzladıki türkiyede tek sebebi bu gelmelerinin 300 usd asgari ücret
Turgay,@TurgAir,,,,Unutmadan: Holdinglerin silinen vergi borçlarıyla asgari ücret daha çok yükseltilebilirdi. Ama olsun. Namuslu patronların vergi kaçırmalarına gerek yok artık!
BJK &TARIK,@Bjk06Tarik,,,,"Bir tavaya yağ koyup ,2 yumurta kıracagiz.Onlara bile 1 yılda %100 zam gelmis.Nasil bir hesab yapiyorsun Tüik ? 
 #asgariücret en az 3500 lira olmali."
Yusuf Karaca,@KrcYousuf,,,1,#asgariücret masasında ömrümde en az 10 yıl asgari ücretle yaşamak zorunda kalmış kimseler olmalı. Asgari ücret ile yaşamayanlar bu ücreti belirleme hakkın sahip değiller.
Play Queens Gambit with BRAWL Chess,@BrawlChess,5,19,328,"Can You play Chess? ♟♟♟
Let the fun begin!
#Nintendo #Steam #Xbox
https://reddeergames.com/brawlchess/"
Komando Onbaşı,@kinggoo8,,1,,"Güçlü Türkiye  Vekillerine gelince bir oylamada @TBMMresmi maaşlara zam  ! Sıra  #Asgariücret  e
Gelince 4 ,5 toplantı yap
2800 TL civarında maaş önerilsin 
Al bozdur bozdur harca ."
Roni,@BudalaRoni,,,1,"kendisini isviçre de bakanlık yaptığını sanıyor türkiye bakanı  
#asgariücret"
LUNAR ECLİPS #İstanbulsözleşmesiyaşatır,@Rai6606,,,1,"En Düşük Seviye ,En Az Düzey Arkadaşlar .Herşeyin En Azı Anlayacağınız ,Fazlası Haram Kılınmış Emekçi İşçilere  Seçtiklerimiz Nazarında  #AsgariÜcret"
Hasan ÇELEBİOĞLU,@hasan39816546,,,,Ben tekstilin bel kemiği kesimciyim.Piyasayı öyle bir bitirdilerki.Asgari ücret yada bir tık üstü resmî tatil yok.Haftalık 55 saat üzeri çalışma.Sırf o yüzden mesleğimi yapmıyorum.
Metin ALAV,@MetinALAV,,,2,Arkadaş diyanetin bile bir kişinin günlük asgari gıda miktarını 27 TL olarak belirlemesi üzerine  4 kişilik bir aile üzerinden 3240 TL aç kalmaması için gerekirken muhalefetin bile #asgariücret 3100 TL teklifini aklım almıyor #MilletBıktı #isci #EmekciDiyorKi #MasumlarApartmanı
ankara.hakkinda06,@ankarahakinda06,,,,"TÜİK, asgari ücret için yapılan üçüncü toplantıda asgari ücretin Ağır iş kolu için 2 bin 792 TL, Orta iş kolu için 2507 TL olmasını önerdi."
Jose (yedek),@ikisurulaf,,,1,Enflasyonu don lastiği ile ölçen TÜİK’ten asgari ücret önerisi alırsanız asgari ücretlileri işverene borçlu çıkarır :)
